img,px,py
0.jpg,215,93
1.jpg,102,136
2.jpg,83,102
3.jpg,158,202
4.jpg,47,125
5.jpg,84,53
6.jpg,222,76
7.jpg,224,76
8.jpg,44,127
9.jpg,120,163
10.jpg,214,148
11.jpg,38,167
12.jpg,190,200
13.jpg,36,47
14.jpg,124,83
15.jpg,144,81
16.jpg,74,68
17.jpg,217,124
18.jpg,221,49
19.jpg,91,179
20.jpg,-1,-1
21.jpg,-1,-1
22.jpg,-1,-1
23.jpg,-1,-1
24.jpg,-1,-1
25.jpg,-1,-1
26.jpg,-1,-1
27.jpg,-1,-1
28.jpg,-1,-1
29.jpg,-1,-1
30.jpg,-1,-1
31.jpg,-1,-1
32.jpg,-1,-1
33.jpg,-1,-1
34.jpg,-1,-1
35.jpg,-1,-1
36.jpg,-1,-1
37.jpg,-1,-1
38.jpg,-1,-1
39.jpg,-1,-1
40.jpg,78,110
41.jpg,162,210
42.jpg,114,160
43.jpg,223,77
44.jpg,133,182
45.jpg,108,116
46.jpg,108,93
47.jpg,49,36
48.jpg,49,70
49.jpg,176,121
50.jpg,175,30
51.jpg,54,89
52.jpg,95,186
53.jpg,46,37
54.jpg,217,175
55.jpg,89,143
56.jpg,149,71
57.jpg,208,224
58.jpg,103,148
59.jpg,158,195
60.jpg,-1,-1
61.jpg,-1,-1
62.jpg,-1,-1
63.jpg,-1,-1
64.jpg,-1,-1
65.jpg,-1,-1
66.jpg,-1,-1
67.jpg,-1,-1
68.jpg,-1,-1
69.jpg,-1,-1
70.jpg,-1,-1
71.jpg,-1,-1
72.jpg,-1,-1
73.jpg,-1,-1
74.jpg,-1,-1
75.jpg,-1,-1
76.jpg,-1,-1
77.jpg,-1,-1
78.jpg,-1,-1
79.jpg,-1,-1
80.jpg,172,128
81.jpg,96,96
82.jpg,34,127
83.jpg,54,185
84.jpg,109,211
85.jpg,110,37
86.jpg,191,120
87.jpg,172,125
88.jpg,209,111
89.jpg,123,144
90.jpg,191,192
91.jpg,118,76
92.jpg,226,190
93.jpg,136,159
94.jpg,123,128
95.jpg,86,44
96.jpg,218,56
97.jpg,77,112
98.jpg,215,200
99.jpg,182,223
100.jpg,-1,-1
101.jpg,-1,-1
102.jpg,-1,-1
103.jpg,-1,-1
104.jpg,-1,-1
105.jpg,-1,-1
106.jpg,-1,-1
107.jpg,-1,-1
108.jpg,-1,-1
109.jpg,-1,-1
110.jpg,-1,-1
111.jpg,-1,-1
112.jpg,-1,-1
113.jpg,-1,-1
114.jpg,-1,-1
115.jpg,-1,-1
116.jpg,-1,-1
117.jpg,-1,-1
118.jpg,-1,-1
119.jpg,-1,-1
120.jpg,184,179
121.jpg,36,180
122.jpg,51,79
123.jpg,210,92
124.jpg,220,173
125.jpg,123,103
126.jpg,82,123
127.jpg,78,150
128.jpg,156,198
129.jpg,127,94
130.jpg,35,83
131.jpg,34,205
132.jpg,172,67
133.jpg,219,99
134.jpg,45,111
135.jpg,140,216
136.jpg,42,191
137.jpg,77,65
138.jpg,44,189
139.jpg,222,167
140.jpg,-1,-1
141.jpg,-1,-1
142.jpg,-1,-1
143.jpg,-1,-1
144.jpg,-1,-1
145.jpg,-1,-1
146.jpg,-1,-1
147.jpg,-1,-1
148.jpg,-1,-1
149.jpg,-1,-1
150.jpg,-1,-1
151.jpg,-1,-1
152.jpg,-1,-1
153.jpg,-1,-1
154.jpg,-1,-1
155.jpg,-1,-1
156.jpg,-1,-1
157.jpg,-1,-1
158.jpg,-1,-1
159.jpg,-1,-1
160.jpg,57,36
161.jpg,110,169
162.jpg,69,181
163.jpg,224,91
164.jpg,137,89
165.jpg,48,49
166.jpg,125,116
167.jpg,223,77
168.jpg,154,167
169.jpg,215,137
170.jpg,194,81
171.jpg,79,177
172.jpg,97,226
173.jpg,65,140
174.jpg,54,82
175.jpg,125,66
